datetime,open,high,low,close,volume
2018-01-21 03:15:00,12595.74642,12640.0,12450.0,12550.0,55.58697918
2019-09-21 18:30:00,9985.9,9997.4,9985.8,9993.8,4.91928692
2020-11-17 16:15:00,17325.0,17390.5,17293.0,17388.0,172.74109242999998
2012-03-01 17:15:00,5.03,5.03,5.03,5.03,20.8747515
2018-12-18 17:15:00,3523.6,3527.0,3487.0,3494.4,201.82406249
2013-03-04 04:00:00,34.4,34.4,34.4,34.4,302.62951785
2012-11-19 11:15:00,11.4,11.4,11.21,11.4,249.29376795
2013-04-23 20:45:00,134.4,136.05,134.4,136.05,907.47540883
2012-07-23 00:00:00,8.42,8.42,8.19,8.19,519.54262048
2018-02-21 06:45:00,10980.0,11096.99,10978.0,11069.41,53.21638515
2015-08-18 23:15:00,249.95,249.97,245.05,246.0,695.68720397
2013-01-30 01:00:00,19.46,19.46,19.46,19.46,248.9239947
2016-12-05 06:30:00,745.87,747.97,744.62,747.97,300.74842088
2017-03-05 08:00:00,1242.39,1248.75,1242.39,1244.39,65.20071957
2018-05-11 00:00:00,9011.0,9011.0,8858.0,8905.0,389.93171079
2012-11-21 22:15:00,11.48,11.64,11.48,11.64,270.78472436000004
2019-12-12 08:15:00,7119.9,7119.9,7103.2,7110.0,18.037103400000003
2017-04-28 05:30:00,1336.87,1336.87,1334.58,1336.07,18.00932053
2015-01-11 02:00:00,278.45,278.99,278.14,278.84,92.46951909
2012-10-20 06:15:00,11.57,11.57,11.55,11.55,142.5
2021-02-20 13:15:00,57050.0,57334.6,56830.3,57295.5,85.92660786
2016-03-24 16:15:00,416.41,417.0,416.1,416.99,18.99037055
2014-04-10 00:45:00,442.46,442.46,440.01,440.01,10.44192874
2018-01-17 17:15:00,10250.0,10398.1,9962.0,10021.75,217.95293802
2013-12-23 09:45:00,635.25,635.78,630.0,634.65,163.01971986
2019-08-04 17:45:00,10930.3,10947.4,10900.0,10928.2,72.92448698999999
2014-07-03 17:30:00,645.99,645.99,642.7,645.97,83.18010183999999
2016-08-24 09:45:00,579.76,579.76,578.62,579.74,19.19043474
2018-08-27 10:15:00,6703.6,6705.0,6700.0,6700.0,14.37204288
2016-07-22 06:00:00,664.94,665.99,664.94,665.99,1.49966763
2018-02-01 20:30:00,8990.8,9089.0,8800.1,8944.9,458.11156354
2013-08-09 04:45:00,94.13,94.47,94.13,94.47,24.35522771
2014-04-19 07:45:00,492.13,496.99,492.13,495.05,145.93022265000002
2013-11-16 11:00:00,438.24,439.97,438.24,439.89,250.86111388
2021-01-09 22:30:00,40547.8,40568.0,40295.3,40399.3,56.18302683
2017-04-22 18:45:00,1235.98,1236.5,1235.86,1235.86,26.60663595
2017-05-14 04:15:00,1777.3,1781.49,1769.5,1769.5,43.73711581
2019-10-11 20:45:00,8331.7,8357.8,8331.7,8338.4,28.76870669
2020-03-20 12:30:00,6626.2,6670.3,6612.8,6667.9,150.43420104
2014-06-06 14:15:00,660.64,661.0,660.12,660.12,90.14682428
2017-10-27 14:45:00,5764.53,5776.4,5730.96,5733.09,356.50819018
2020-01-19 23:15:00,8656.2,8692.5,8641.0,8677.7,55.05550027
2016-02-04 05:00:00,370.62,370.62,369.82,370.49,27.93556037
2017-10-05 08:45:00,4144.06,4151.17,4143.0,4145.13,13.119457980000002
2012-05-02 12:30:00,5.15,5.15,5.15,5.15,50.2729293
2020-06-03 01:15:00,9510.0,9510.1,9492.9,9492.9,15.6895826
2013-05-25 15:30:00,128.19,128.19,127.6,127.6,30.69974222
2020-02-05 13:30:00,9445.0,9453.3,9415.5,9416.1,36.61224379
2014-07-29 21:30:00,584.2,584.84,582.17,584.84,30.09784302
2017-03-01 01:00:00,1191.67,1194.0,1190.14,1194.0,67.53618004
2019-12-21 05:15:00,7157.8,7165.6,7157.8,7164.0,3.06996286
2017-10-21 13:00:00,6092.56,6114.84,6088.2,6099.26,106.51073328
2015-10-11 22:00:00,247.89,248.13,247.25,247.94,555.29162948
2016-03-25 09:45:00,415.3,415.3,415.3,415.3,9.84841525
2014-10-02 11:30:00,381.59,381.59,380.0,380.0,216.54665865
2017-11-14 19:30:00,6570.01,6586.11,6550.22,6556.43,130.37188696
2014-04-14 10:30:00,461.21,464.9,460.0,460.25,533.66528997
